country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,total_bebidas,acima_media
Afghanistan,0,0,0,0.0,0,Nao
Albania,89,132,54,4.9,275,Sim
Algeria,25,0,14,0.7,39,Nao
Andorra,245,138,312,12.4,695,Sim
Angola,217,57,45,5.9,319,Sim
Antigua & Barbuda,102,128,45,4.9,275,Sim
Argentina,193,25,221,8.3,439,Sim
Armenia,21,179,11,3.8,211,Nao
Australia,261,72,212,10.4,545,Sim
Austria,279,75,191,9.7,545,Sim
Azerbaijan,21,46,5,1.3,72,Nao
Bahamas,122,176,51,6.3,349,Sim
Bahrain,42,63,7,2.0,112,Nao
Bangladesh,0,0,0,0.0,0,Nao
Barbados,143,173,36,6.3,352,Sim
Belarus,142,373,42,14.4,557,Sim
Belgium,295,84,212,10.5,591,Sim
Belize,263,114,8,6.8,385,Sim
Benin,34,4,13,1.1,51,Nao
Bhutan,23,0,0,0.4,23,Nao
Bolivia,167,41,8,3.8,216,Nao
Bosnia-Herzegovina,76,173,8,4.6,257,Sim
Botswana,173,35,35,5.4,243,Sim
Brazil,245,145,16,7.2,406,Sim
Brunei,31,2,1,0.6,34,Nao
Bulgaria,231,252,94,10.3,577,Sim
Burkina Faso,25,7,7,4.3,39,Nao
Burundi,88,0,0,6.3,88,Nao
Cote d'Ivoire,37,1,7,4.0,45,Nao
Cabo Verde,144,56,16,4.0,216,Nao
Cambodia,57,65,1,2.2,123,Nao
Cameroon,147,1,4,5.8,152,Nao
Canada,240,122,100,8.2,462,Sim
Central African Republic,17,2,1,1.8,20,Nao
Chad,15,1,1,0.4,17,Nao
Chile,130,124,172,7.6,426,Sim
China,79,192,8,5.0,279,Sim
Colombia,159,76,3,4.2,238,Sim
Comoros,1,3,1,0.1,5,Nao
Congo,76,1,9,1.7,86,Nao
Cook Islands,0,254,74,5.9,328,Sim
Costa Rica,149,87,11,4.4,247,Sim
Croatia,230,87,254,10.2,571,Sim
Cuba,93,137,5,4.2,235,Nao
Cyprus,192,154,113,8.2,459,Sim
Czech Republic,361,170,134,11.8,665,Sim
North Korea,0,0,0,0.0,0,Nao
DR Congo,32,3,1,2.3,36,Nao
Denmark,224,81,278,10.4,583,Sim
Djibouti,15,44,3,1.1,62,Nao
Dominica,52,286,26,6.6,364,Sim
Dominican Republic,193,147,9,6.2,349,Sim
Ecuador,162,74,3,4.2,239,Sim
Egypt,6,4,1,0.2,11,Nao
El Salvador,52,69,2,2.2,123,Nao
Equatorial Guinea,92,0,233,5.8,325,Sim
Eritrea,18,0,0,0.5,18,Nao
Estonia,224,194,59,9.5,477,Sim
Ethiopia,20,3,0,0.7,23,Nao
Fiji,77,35,1,2.0,113,Nao
Finland,263,133,97,10.0,493,Sim
France,127,151,370,11.8,648,Sim
Gabon,347,98,59,8.9,504,Sim
Gambia,8,0,1,2.4,9,Nao
Georgia,52,100,149,5.4,301,Sim
Germany,346,117,175,11.3,638,Sim
Ghana,31,3,10,1.8,44,Nao
Greece,133,112,218,8.3,463,Sim
Grenada,199,438,28,11.9,665,Sim
Guatemala,53,69,2,2.2,124,Nao
Guinea,9,0,2,0.2,11,Nao
Guinea-Bissau,28,31,21,2.5,80,Nao
Guyana,93,302,1,7.1,396,Sim
Haiti,1,326,1,5.9,328,Sim
Honduras,69,98,2,3.0,169,Nao
Hungary,234,215,185,11.3,634,Sim
Iceland,233,61,78,6.6,372,Sim
India,9,114,0,2.2,123,Nao
Indonesia,5,1,0,0.1,6,Nao
Iran,0,0,0,0.0,0,Nao
Iraq,9,3,0,0.2,12,Nao
Ireland,313,118,165,11.4,596,Sim
Israel,63,69,9,2.5,141,Nao
Italy,85,42,237,6.5,364,Sim
Jamaica,82,97,9,3.4,188,Nao
Japan,77,202,16,7.0,295,Sim
Jordan,6,21,1,0.5,28,Nao
Kazakhstan,124,246,12,6.8,382,Sim
Kenya,58,22,2,1.8,82,Nao
Kiribati,21,34,1,1.0,56,Nao
Kuwait,0,0,0,0.0,0,Nao
Kyrgyzstan,31,97,6,2.4,134,Nao
Laos,62,0,123,6.2,185,Nao
Latvia,281,216,62,10.5,559,Sim
Lebanon,20,55,31,1.9,106,Nao
Lesotho,82,29,0,2.8,111,Nao
Liberia,19,152,2,3.1,173,Nao
Libya,0,0,0,0.0,0,Nao
Lithuania,343,244,56,12.9,643,Sim
Luxembourg,236,133,271,11.4,640,Sim
Madagascar,26,15,4,0.8,45,Nao
Malawi,8,11,1,1.5,20,Nao
Malaysia,13,4,0,0.3,17,Nao
Maldives,0,0,0,0.0,0,Nao
Mali,5,1,1,0.6,7,Nao
Malta,149,100,120,6.6,369,Sim
Marshall Islands,0,0,0,0.0,0,Nao
Mauritania,0,0,0,0.0,0,Nao
Mauritius,98,31,18,2.6,147,Nao
Mexico,238,68,5,5.5,311,Sim
Micronesia,62,50,18,2.3,130,Nao
Monaco,0,0,0,0.0,0,Nao
Mongolia,77,189,8,4.9,274,Sim
Montenegro,31,114,128,4.9,273,Sim
Morocco,12,6,10,0.5,28,Nao
Mozambique,47,18,5,1.3,70,Nao
Myanmar,5,1,0,0.1,6,Nao
Namibia,376,3,1,6.8,380,Sim
Nauru,49,0,8,1.0,57,Nao
Nepal,5,6,0,0.2,11,Nao
Netherlands,251,88,190,9.4,529,Sim
New Zealand,203,79,175,9.3,457,Sim
Nicaragua,78,118,1,3.5,197,Nao
Niger,3,2,1,0.1,6,Nao
